country	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Cote d'Ivoire	1088530	1088530	1088530	1088530	1088530	1088530	1088530	1088530	1088530	1088530	1088530	1090512	1092493	1094474	1096456	1098438	1100419	1102400	1104382	1106364	1108345	1114105	1119866	1125626	1131386	1137146	1142907	1148667	1154427	1160188	1165948	1174135	1182322	1190509	1198696	1206883	1215070	1223257	1231444	1239631	1247818	1256580	1265342	1274104	1282866	1291628	1300389	1309151	1317913	1326675	1335437	1344650	1353863	1363075	1372288	1381501	1390714	1399927	1409139	1418352	1427565	1437413	1447261	1457110	1466958	1476806	1486654	1496502	1506351	1516199	1526047	1536527	1547007	1557487	1567967	1578446	1588926	1599406	1609886	1620366	1630846	1642040	1653234	1664428	1675622	1686816	1698009	1709203	1720397	1731591	1742785	1754807	1766829	1778851	1790873	1802896	1814918	1826940	1838962	1850984	1863006	1875820	1888635	1901449	1914264	1927078	1939892	1952707	1965521	1978336	1991150	2004960	2018771	2032582	2046392	2060202	2074013	2087824	2101634	2115444	2129255	2144206	2159157	2174108	2189059	2204010	2218962	2233913	2248864	2263815	2278766	2294767	2310768	2326769	2342770	2358770	2374771	2390772	2406773	2422774	2438775	2457911	2477046	2496182	2515317	2534453	2553589	2572724	2591860	2610995	2630131	2636384	2642636	2648889	2655141	2661394	2667647	2673899	2680152	2686404	2692657	2699237	2705817	2712396	2718976	2725556	2732136	2738716	2745295	2751875	2758455	2765394	2772333	2779272	2786211	2793150	2800088	2807027	2813966	2820905	2827844	2835190	2842537	2849883	2857229	2864576	2871922	2879268	2886614	2893961	2901307	2909125	2916944	2924762	2932581	2940399	2948217	2956036	2963854	2971673	2979491	2987864	2996236	3004609	3012982	3021354	3029727	3038100	3046473	3054845	3063218	6990886	10918553	14846221	18773888	22701556
Croatia	1227886	1227886	1227886	1227886	1227886	1227886	1227886	1227886	1227886	1227886	1227886	1230802	1233718	1236635	1239551	1242467	1245383	1248299	1251216	1254132	1257048	1265605	1274162	1282719	1291276	1299834	1308391	1316948	1325505	1334062	1342619	1354957	1367294	1379632	1391969	1404307	1416645	1428982	1441320	1453657	1465995	1479466	1492938	1506409	1519881	1533352	1546823	1560295	1573766	1587238	1600709	1615437	1630165	1644893	1659621	1674350	1689078	1703806	1718534	1733262	1747990	1764073	1780157	1796240	1812323	1828406	1844490	1860573	1876656	1892740	1908823	1926284	1943745	1961207	1978668	1996129	2013590	2031051	2048513	2065974	2083435	2102482	2121528	2140575	2159622	2178668	2197715	2216762	2235809	2254855	2273902	2294824	2315746	2336669	2357591	2378513	2399435	2420357	2441280	2462202	2483124	2505887	2528651	2551414	2574178	2596941	2619704	2642468	2665231	2687995	2710758	2735674	2760590	2785505	2810421	2835337	2860253	2885169	2910084	2935000	2959916	2987115	3014315	3041514	3068713	3095912	3123112	3150311	3177510	3204710	3231909	3261608	3291306	3321005	3350703	3380402	3410101	3439799	3469498	3499196	3528895	3561035	3593175	3625315	3657455	3689595	3721735	3753875	3786015	3818155	3850295	3853888	3857480	3861073	3864666	3868258	3871851	3875444	3879037	3882629	3886222	3889867	3893513	3897158	3900803	3904448	3908094	3911739	3915384	3919030	3922675	3926319	3929964	3933608	3937253	3940897	3944541	3948186	3951830	3955475	3959119	3962721	3966322	3969924	3973526	3977128	3980729	3984331	3987933	3991534	3995136	3998664	4002192	4005721	4009249	4012777	4016305	4019833	4023362	4026890	4030418	4033854	4037289	4040725	4044160	4047596	4051032	4054467	4057903	4061338	4064774	4099883	4134991	4170100	4205208	4240317
Cuba	345043	357556	370070	382583	395096	407610	420123	432636	445149	457663	470176	483925	497674	511422	525171	538920	552669	566418	580166	593915	607664	624179	640694	657208	673723	690238	706753	723268	739782	756297	772812	793087	813363	833638	853913	874188	894464	914739	935014	955290	975565	996174	1016782	1037390	1057999	1078608	1099216	1119824	1140433	1161042	1181650	1195885	1210120	1224355	1238590	1252825	1267060	1281295	1295530	1309765	1324000	1334067	1344134	1354202	1364269	1374336	1384403	1394470	1404538	1414605	1424672	1437713	1450754	1463795	1476836	1489876	1502917	1515958	1528999	1542040	1555081	1565400	1575720	1586039	1596358	1606678	1616997	1627316	1637635	1647955	1658274	1668669	1679065	1689460	1699855	1710250	1720646	1731041	1741436	1751832	1762227	1812860	1863493	1914126	1964759	2015392	2066026	2116659	2167292	2217925	2268558	2348414	2428270	2508125	2587981	2667837	2747693	2827549	2907404	2987260	3067116	3152287	3237458	3322629	3407800	3492972	3578143	3663314	3748485	3833656	3918827	3994175	4069522	4144870	4220217	4295565	4370913	4446260	4521608	4596955	4672303	4797072	4921842	5046611	5171381	5296150	5420919	5545689	5670458	5795228	5919997	5933126	5946256	5959385	5972514	5985644	5998773	6011902	6025031	6038161	6051290	6064164	6077038	6089912	6102786	6115660	6128535	6141409	6154283	6167157	6180031	6192480	6204930	6217379	6229828	6242278	6254727	6267176	6279625	6292075	6304524	6316489	6328454	6340419	6352384	6364348	6376313	6388278	6400243	6412208	6424173	6435703	6447232	6458762	6470292	6481822	6493351	6504881	6516411	6527940	6539470	6550732	6561993	6573255	6584516	6595778	6607040	6618301	6629563	6640824	6652086	7599581	8547076	9494572	10442067	11389562
Cyprus	184392	184412	184432	184451	184471	184491	184511	184531	184550	184570	184590	184610	184630	184649	184669	184689	184709	184729	184748	184768	184788	184808	184828	184847	184867	184887	184907	184927	184946	184966	184986	185006	185026	185045	185065	185085	185105	185125	185144	185164	185184	185204	185224	185244	185264	185284	185303	185323	185343	185363	185383	185412	185442	185471	185501	185530	185559	185589	185618	185648	185677	185706	185736	185765	185795	185824	185853	185883	185912	185942	185971	186366	186760	187154	187549	187944	188338	188732	189127	189522	189916	191656	193397	195138	196878	198618	200359	202100	203840	205580	207321	210115	212908	215702	218495	221289	224083	226876	229670	232463	235257	238815	242373	245931	249489	253046	256604	260162	263720	267278	270836	274567	278298	282030	285761	289492	293223	296954	300686	304417	308148	311863	315578	319292	323007	326722	330437	334152	337866	341581	345296	351512	357727	363943	370159	376374	382590	388806	395022	401237	407453	416109	424765	433421	442077	450734	459390	468046	476702	485358	494014	494650	495287	495923	496560	497196	497832	498469	499105	499742	500378	501003	501628	502253	502878	503502	504127	504752	505377	506002	506627	507308	507989	508669	509350	510031	510712	511393	512073	512754	513435	514210	514985	515761	516536	517311	518086	518861	519637	520412	521187	522065	522944	523822	524701	525579	526457	527336	528214	529093	529971	530930	531890	532850	533809	534768	535728	536688	537647	538606	539566	664713	789860	915006	1040153	1165300
Denmark	1062514	1067077	1071640	1076204	1080767	1085330	1089893	1094456	1099020	1103583	1108146	1115106	1122067	1129027	1135987	1142948	1149908	1156868	1163828	1170789	1177749	1186446	1195142	1203838	1212535	1221232	1229928	1238624	1247321	1256018	1264714	1275066	1285419	1295771	1306124	1316476	1326828	1337181	1347533	1357886	1368238	1382533	1396828	1411124	1425419	1439714	1454009	1468304	1482600	1496895	1511190	1529511	1547831	1566152	1584473	1602794	1621114	1639435	1657756	1676076	1694397	1713669	1732942	1752214	1771486	1790758	1810031	1829303	1848575	1867848	1887120	1906585	1926049	1945514	1964978	1984443	2003908	2023372	2042837	2062301	2081766	2102745	2123724	2144703	2165682	2186662	2207641	2228620	2249599	2270578	2291557	2318159	2344762	2371364	2397967	2424569	2451171	2477774	2504376	2530979	2557581	2589871	2622161	2654450	2686740	2719030	2751320	2783610	2815899	2848189	2880479	2916691	2952903	2989115	3025327	3061539	3097751	3133963	3170175	3206387	3242599	3272595	3302591	3332588	3362584	3392580	3422576	3452572	3482569	3512565	3542561	3571591	3600621	3629650	3658680	3687710	3716740	3745770	3774799	3803829	3832859	3876400	3919941	3963482	4007023	4050564	4094106	4137647	4181188	4224729	4268270	4272275	4276281	4280286	4284292	4288297	4292302	4296308	4300313	4304319	4308324	4312013	4315703	4319392	4323082	4326771	4330460	4334150	4337839	4341529	4345218	4348610	4352003	4355395	4358787	4362180	4365572	4368964	4372356	4375749	4379141	4382270	4385400	4388529	4391659	4394788	4397917	4401047	4404176	4407306	4410435	4413351	4416267	4419183	4422099	4425014	4427930	4430846	4433762	4436678	4439594	4442362	4445131	4447900	4450668	4453436	4456205	4458974	4461742	4464510	4467279	4707639	4948000	5188360	5428721	5669081
Djibouti	22848	22848	22848	22848	22848	22848	22848	22848	22848	22848	22848	22895	22942	22990	23037	23084	23131	23178	23226	23273	23320	23458	23596	23733	23871	24009	24147	24285	24422	24560	24698	24895	25092	25290	25487	25684	25881	26078	26276	26473	26670	26883	27096	27308	27521	27734	27947	28160	28372	28585	28798	29025	29253	29480	29708	29935	30162	30390	30617	30845	31072	31317	31563	31808	32054	32299	32544	32790	33035	33281	33526	33789	34053	34316	34579	34842	35106	35369	35632	35896	36159	36443	36727	37011	37295	37578	37862	38146	38430	38714	38998	39306	39614	39922	40230	40538	40846	41154	41462	41770	42078	42409	42740	43071	43402	43734	44065	44396	44727	45058	45389	45748	46108	46468	46827	47186	47546	47906	48265	48624	48984	49375	49766	50157	50548	50939	51330	51721	52112	52503	52894	53316	53738	54161	54583	55005	55427	55849	56272	56694	57116	57604	58093	58582	59070	59558	60047	60536	61024	61512	62001	62132	62263	62393	62524	62655	62786	62917	63047	63178	63309	63453	63597	63741	63885	64028	64172	64316	64460	64604	64748	64900	65053	65206	65358	65510	65663	65816	65968	66120	66273	66433	66594	66754	66915	67075	67235	67396	67556	67717	67877	68049	68220	68392	68564	68736	68907	69079	69251	69422	69594	69784	69975	70165	70356	70546	70736	70927	71117	71308	71498	234771	398043	561316	724588	887861
Ecuador	5e+05	5e+05	5e+05	5e+05	5e+05	5e+05	5e+05	5e+05	5e+05	5e+05	5e+05	502266	504531	506797	509062	511328	513594	515859	518125	520390	522656	529546	536436	543327	550217	557107	563997	570887	577778	584668	591558	602049	612541	623032	633524	644015	654506	664998	675489	685981	696472	707528	718583	729638	740694	751750	762805	773860	784916	795972	807027	818046	829064	840083	851101	862120	873139	884157	895176	906194	917213	928357	939500	950644	961787	972931	984075	995218	1006362	1017505	1028649	1041041	1053434	1065826	1078219	1090611	1103003	1115396	1127788	1140181	1152573	1166434	1180295	1194156	1208017	1221878	1235739	1249600	1263461	1277322	1291183	1307574	1323965	1340356	1356747	1373138	1389529	1405920	1422311	1438702	1455093	1477824	1500555	1523286	1546017	1568748	1591480	1614211	1636942	1659673	1682404	1701097	1719789	1738482	1757174	1775867	1794560	1813252	1831945	1850637	1869330	1886669	1904008	1921347	1938686	1956024	1973363	1990702	2008041	2025380	2042719	2096755	2150791	2204828	2258864	2312900	2366936	2420972	2475009	2529045	2583081	2671789	2760497	2849205	2937913	3026622	3115330	3204038	3292746	3381454	3470162	3479261	3488360	3497460	3506559	3515658	3524757	3533856	3542956	3552055	3561154	3570540	3579926	3589311	3598697	3608083	3617469	3626855	3636240	3645626	3655012	3664724	3674436	3684148	3693860	3703572	3713283	3722995	3732707	3742419	3752131	3762204	3772276	3782349	3792421	3802494	3812567	3822639	3832712	3842784	3852857	3863320	3873782	3884244	3894707	3905170	3915632	3926094	3936557	3947020	3957482	3968358	3979234	3990109	4000985	4011861	4022737	4033613	4044488	4055364	4066240	6481865	8897489	11313114	13728738	16144363
Egypt	4243515	4241035	4238554	4236074	4233593	4231113	4228633	4226152	4223672	4221191	4218711	4228719	4238726	4248734	4258742	4268750	4278757	4288765	4298773	4308780	4318788	4353124	4387461	4421798	4456134	4490470	4524807	4559144	4593480	4627816	4662153	4713171	4764189	4815206	4866224	4917242	4968260	5019278	5070295	5121313	5172331	5228932	5285533	5342133	5398734	5455335	5511936	5568537	5625137	5681738	5738339	5798103	5857866	5917630	5977393	6037157	6096921	6156684	6216448	6276211	6335975	6406439	6476903	6547367	6617831	6688295	6758759	6829223	6899687	6970151	7040615	7126599	7212582	7298566	7384549	7470533	7556517	7642500	7728484	7814467	7900451	8001659	8102868	8204076	8305285	8406493	8507701	8608910	8710118	8811327	8912535	9027811	9143088	9258364	9373640	9488916	9604193	9719469	9834745	9950022	10065298	10194730	10324162	10453594	10583026	10712458	10841890	10971322	11100754	11230186	11359618	11533972	11708326	11882681	12057035	12231389	12405743	12580097	12754452	12928806	13103160	13322171	13541182	13760193	13979204	14198214	14417225	14636236	14855247	15074258	15293269	15548886	15804503	16060120	16315737	16571354	16826972	17082589	17338206	17593823	17849440	18154220	18458999	18763779	19068559	19373338	19678118	19982898	20287678	20592457	20897237	20945853	20994468	21043084	21091699	21140315	21188931	21237546	21286162	21334777	21383393	21435502	21487610	21539718	21591827	21643936	21696044	21748152	21800261	21852370	21904478	21959870	22015263	22070655	22126048	22181440	22236832	22292225	22347617	22403010	22458402	22516865	22575329	22633792	22692255	22750718	22809182	22867645	22926108	22984572	23043035	23104353	23165671	23226989	23288307	23349626	23410944	23472262	23533580	23594898	23656216	23720169	23784122	23848075	23912028	23975981	24039934	24103887	24167840	24231793	24295746	37738214	51180681	64623149	78065616	91508084
El Salvador	248000	248000	248000	248000	248000	248000	248000	248000	248000	248000	248000	248882	249765	250647	251529	252412	253294	254176	255058	255941	256823	259463	262104	264744	267385	270025	272665	275306	277946	280587	283227	287150	291074	294997	298921	302844	306767	310691	314614	318538	322461	327120	331779	336439	341098	345757	350416	355075	359735	364394	369053	374762	380471	386181	391890	397599	403308	409017	414727	420436	426145	432944	439743	446543	453342	460141	466940	473739	480539	487338	494137	501933	509728	517524	525319	533115	540911	548706	556502	564297	572093	581103	590113	599124	608134	617144	626154	635164	644175	653185	662195	673449	684703	695956	707210	718464	729718	740972	752225	763479	774733	792021	809310	826598	843887	861175	878463	895752	913040	930329	947617	970019	992420	1014822	1037224	1059626	1082027	1104429	1126831	1149232	1171634	1199106	1226579	1254051	1281523	1308996	1336468	1363940	1391412	1418885	1446357	1480239	1514121	1548003	1581885	1615766	1649648	1683530	1717412	1751294	1785176	1826648	1868120	1909592	1951064	1992536	2034009	2075481	2116953	2158425	2199897	2203565	2207233	2210901	2214569	2218237	2221905	2225573	2229241	2232909	2236577	2240750	2244923	2249095	2253268	2257441	2261614	2265787	2269959	2274132	2278305	2282930	2287556	2292181	2296806	2301432	2306057	2310682	2315307	2319933	2324558	2329599	2334641	2339682	2344724	2349765	2354806	2359848	2364889	2369931	2374972	2380408	2385844	2391280	2396716	2402152	2407587	2413023	2418459	2423895	2429331	2435156	2440981	2446806	2452631	2458456	2464282	2470107	2475932	2481757	2487582	3215382	3943182	4670983	5398783	6126583
Equatorial Guinea	80377	80377	80377	80377	80377	80377	80377	80377	80377	80377	80377	80448	80518	80589	80660	80730	80801	80872	80943	81013	81084	81286	81488	81690	81892	82094	82297	82499	82701	82903	83105	83385	83666	83946	84227	84507	84787	85068	85348	85629	85909	86199	86489	86778	87068	87358	87648	87938	88227	88517	88807	89113	89419	89725	90031	90337	90643	90949	91255	91561	91867	92184	92500	92816	93133	93450	93766	94082	94399	94716	95032	95359	95686	96012	96339	96666	96993	97320	97646	97973	98300	98638	98976	99314	99652	99990	100327	100665	101003	101341	101679	102029	102380	102730	103081	103431	103781	104132	104482	104833	105183	105545	105907	106269	106631	106992	107354	107716	108078	108440	108802	109289	109775	110262	110749	111236	111722	112209	112696	113182	113669	118005	122342	126678	131014	135350	139687	144023	148359	152696	157032	158428	159823	161219	162615	164010	165406	166802	168198	169593	170989	176444	181898	187353	192808	198262	203717	209172	214627	220081	225536	225988	226440	226892	227344	227796	228249	228701	229153	229605	230057	230327	230597	230867	231137	231407	231677	231947	232217	232487	232757	232932	233108	233284	233459	233634	233810	233986	234161	234336	234512	234660	234808	234956	235104	235252	235401	235549	235697	235845	235993	236161	236330	236498	236666	236834	237003	237171	237339	237508	237676	237891	238106	238321	238536	238751	238966	239181	239396	239611	239826	360873	481920	602966	724013	845060
Eritrea	205010	205010	205010	205010	205010	205010	205010	205010	205010	205010	205010	205753	206496	207239	207982	208725	209468	210211	210954	211697	212440	214666	216893	219119	221345	223572	225798	228024	230250	232477	234703	238017	241330	244644	247957	251271	254585	257898	261212	264525	267839	271620	275402	279184	282965	286746	290528	294310	298091	301872	305654	309964	314274	318583	322893	327203	331513	335823	340132	344442	348752	353670	358587	363504	368422	373340	378257	383174	388092	393010	397927	403488	409049	414609	420170	425731	431292	436853	442413	447974	453535	459867	466199	472531	478863	485194	491526	497858	504190	510522	516854	524142	531430	538717	546005	553293	560581	567869	575156	582444	589732	598000	606269	614538	622806	631074	639343	647612	655880	664148	672417	681893	691370	700846	710323	719799	729275	738752	748228	757705	767181	778012	788844	799675	810507	821338	832169	843001	853832	864664	875495	887856	900216	912577	924937	937298	949659	962019	974380	986740	999101	1013406	1027711	1042016	1056321	1070626	1084930	1099235	1113540	1127845	1142150	1144201	1146252	1148302	1150353	1152404	1154455	1156506	1158556	1160607	1162658	1164862	1167065	1169269	1171472	1173676	1175880	1178083	1180287	1182490	1184694	1187039	1189383	1191728	1194073	1196418	1198762	1201107	1203452	1205796	1208141	1210617	1213094	1215570	1218047	1220523	1222999	1225476	1227952	1230429	1232905	1235507	1238109	1240711	1243313	1245916	1248518	1251120	1253722	1256324	1258926	1261650	1264375	1267100	1269824	1272548	1275273	1277998	1280722	1283446	1286171	2074495	2862819	3651143	4439467	5227791
Estonia	334136	334136	334136	334136	334136	334136	334136	334136	334136	334136	334136	334965	335794	336623	337452	338282	339111	339940	340769	341598	342427	344864	347301	349739	352176	354613	357050	359487	361925	364362	366799	370323	373846	377370	380893	384417	387941	391464	394988	398511	402035	405897	409759	413621	417483	421346	425208	429070	432932	436794	440656	444883	449110	453336	457563	461790	466017	470244	474470	478697	482924	487556	492188	496821	501453	506085	510717	515349	519982	524614	529246	534292	539337	544383	549429	554474	559520	564566	569612	574657	579703	585226	590749	596273	601796	607319	612842	618365	623889	629412	634935	641025	647116	653206	659296	665386	671477	677567	683657	689748	695838	702487	709136	715784	722433	729082	735731	742380	749028	755677	762326	769637	776948	784260	791571	798882	806193	813504	820816	828127	835438	843464	851489	859514	867540	875566	883591	891616	899642	907668	915693	924490	933286	942082	950879	959676	968472	977268	986065	994862	1003658	1013392	1023126	1032860	1042594	1052328	1062062	1071796	1081530	1091264	1100998	1102223	1103448	1104673	1105898	1107122	1108347	1109572	1110797	1112022	1113247	1114447	1115647	1116846	1118046	1119246	1120446	1121646	1122845	1124045	1125245	1126411	1127577	1128743	1129909	1131076	1132242	1133408	1134574	1135740	1136906	1138037	1139168	1140299	1141430	1142562	1143693	1144824	1145955	1147086	1148217	1149319	1150421	1151523	1152625	1153728	1154830	1155932	1157034	1158136	1159238	1160325	1161411	1162498	1163585	1164672	1165758	1166845	1167932	1169018	1170105	1198596	1227086	1255577	1284067	1312558
Ethiopia	2948990	2948990	2948990	2948990	2948990	2948990	2948990	2948990	2948990	2948990	2948990	2960436	2971883	2983329	2994775	3006222	3017668	3029114	3040560	3052007	3063453	3097893	3132333	3166773	3201213	3235654	3270094	3304534	3338974	3373414	3407854	3459449	3511044	3562639	3614234	3665830	3717425	3769020	3820615	3872210	3923805	3983212	4042618	4102025	4161431	4220838	4280245	4339651	4399058	4458464	4517871	4584844	4651816	4718789	4785761	4852734	4919707	4986679	5053652	5120624	5187597	5264493	5341389	5418286	5495182	5572078	5648974	5725870	5802767	5879663	5956559	6043989	6131419	6218849	6306279	6393709	6481139	6568569	6655999	6743429	6830859	6931012	7031164	7131317	7231469	7331622	7431775	7531927	7632080	7732232	7832385	7948464	8064544	8180623	8296703	8412782	8528861	8644941	8761020	8877100	8993179	9125634	9258088	9390542	9522997	9655452	9787906	9920360	10052815	10185270	10317724	10471567	10625410	10779253	10933096	11086939	11240782	11394625	11548468	11702311	11856154	12035657	12215159	12394662	12574165	12753668	12933170	13112673	13292176	13471678	13651181	13857860	14064540	14271220	14477899	14684578	14891258	15097938	15304617	15511296	15717976	15958982	16199988	16440993	16681999	16923005	17164011	17405017	17646022	17887028	18128034	18161922	18195811	18229699	18263588	18297476	18331364	18365253	18399141	18433030	18466918	18502190	18537461	18572733	18608004	18643276	18678548	18713819	18749091	18784362	18819634	18856094	18892555	18929016	18965476	19001936	19038397	19074858	19111318	19147778	19184239	19221812	19259386	19296960	19334533	19372106	19409680	19447254	19484827	19522400	19559974	19598703	19637432	19676161	19714890	19753620	19792349	19831078	19869807	19908536	19947265	19987318	20027371	20067423	20107476	20147529	20187582	20227635	20267687	20307740	20347793	36156384	51964976	67773567	83582159	99390750
Fiji	130533	130748	130963	131178	131393	131608	131822	132037	132252	132467	132682	132900	133118	133335	133553	133771	133989	134207	134424	134642	134860	135081	135303	135524	135746	135967	136188	136410	136631	136853	137074	137211	137348	137486	137623	137760	137897	138034	138172	138309	138446	138308	138169	138031	137893	137754	137616	137478	137340	137201	137063	136728	136393	136058	135723	135388	135053	134718	134383	134048	133713	133391	133069	132746	132424	132102	131780	131458	131135	130813	130491	130127	129763	129399	129035	128670	128306	127942	127578	127214	126850	126371	125891	125412	124932	124453	123974	123494	123015	122535	122056	122041	122026	122011	121996	121982	121967	121952	121937	121922	121907	123499	125091	126683	128275	129866	131458	133050	134642	136234	137826	139571	141316	143061	144806	146551	148296	150041	151786	153531	155276	157802	160327	162853	165379	167904	170430	172956	175482	178007	180533	184573	188613	192653	196693	200733	204773	208813	212853	216893	220933	227739	234545	241351	248157	254963	261769	268575	275381	282187	288993	289714	290436	291157	291878	292600	293321	294042	294763	295485	296206	297067	297927	298788	299649	300510	301370	302231	303092	303952	304813	305767	306721	307675	308629	309582	310536	311490	312444	313398	314352	315365	316378	317390	318403	319416	320429	321442	322454	323467	324480	325530	326579	327629	328678	329728	330778	331827	332877	333926	334976	336053	337130	338207	339284	340361	341438	342515	343592	344669	345746	455026	564306	673585	782865	892145
Finland	977662	986958	996255	1005551	1014847	1024144	1033440	1042736	1052032	1061329	1070625	1082643	1094661	1106680	1118698	1130716	1142734	1154752	1166771	1178789	1190807	1204517	1218227	1231936	1245646	1259356	1273066	1286776	1300485	1314195	1327905	1341838	1355772	1369705	1383638	1397572	1411505	1425438	1439371	1453305	1467238	1481295	1495352	1509410	1523467	1537524	1551581	1565638	1579696	1593753	1607810	1620454	1633099	1645743	1658388	1671032	1683676	1696321	1708965	1721610	1734254	1745575	1756897	1768218	1779540	1790861	1802182	1813504	1824825	1836147	1847468	1867479	1887490	1907501	1927512	1947522	1967533	1987544	2007555	2027566	2047577	2078654	2109730	2140807	2171884	2202960	2234037	2265114	2296191	2327267	2358344	2385848	2413353	2440858	2468362	2495866	2523371	2550876	2578380	2605884	2633389	2663094	2692799	2722505	2752210	2781915	2811620	2841325	2871031	2900736	2930441	2951473	2972505	2993538	3014570	3035602	3056634	3077666	3098699	3119731	3140763	3171737	3202711	3233686	3264660	3295634	3326608	3357582	3388557	3419531	3450505	3475078	3499650	3524223	3548796	3573368	3597941	3622514	3647087	3671659	3696232	3727439	3758645	3789852	3821059	3852266	3883472	3914679	3945886	3977092	4008299	4012438	4016577	4020716	4024855	4028994	4033133	4037272	4041411	4045550	4049689	4054233	4058777	4063321	4067865	4072410	4076954	4081498	4086042	4090586	4095130	4099852	4104575	4109297	4114019	4118742	4123464	4128186	4132908	4137631	4142353	4147074	4151794	4156515	4161235	4165956	4170677	4175397	4180118	4184838	4189559	4194145	4198732	4203318	4207905	4212491	4217077	4221664	4226250	4230837	4235423	4239792	4244160	4248528	4252897	4257266	4261634	4266002	4270371	4274740	4279108	4523978	4768848	5013717	5258587	5503457
France	29355111	29448917	29542723	29636529	29730335	29824142	29917948	30011754	30105560	30199366	30293172	30418854	30544535	30670217	30795898	30921580	31047262	31172943	31298625	31424306	31549988	31712470	31874952	32037435	32199917	32362399	32524881	32687363	32849846	33012328	33174810	33342777	33510743	33678710	33846676	34014643	34182610	34350576	34518543	34686509	34854476	34996819	35139162	35281505	35423848	35566190	35708533	35850876	35993219	36135562	36277905	36396249	36514592	36632936	36751279	36869623	36987967	37106310	37224654	37342997	37461341	37532242	37603144	37674045	37744947	37815848	37886749	37957651	38028552	38099454	38170355	38254725	38339095	38423464	38507834	38592204	38676574	38760944	38845313	38929683	39014053	39114198	39214343	39314487	39414632	39514777	39614922	39715067	39815211	39915356	40015501	40076815	40138128	40199442	40260756	40322070	40383383	40444697	40506011	40567324	40628638	40695231	40761825	40828418	40895012	40961605	41028198	41094792	41161385	41227979	41294572	41072108	40849645	40627182	40404718	40182254	39959791	39737328	39514864	39292400	39069937	39329200	39588464	39847727	40106991	40366254	40625517	40884781	41144044	41403308	41662571	41589068	41515566	41442064	41368561	41295058	41221556	41148054	41074551	41001048	40927546	41022752	41117958	41213164	41308370	41403576	41498783	41593989	41689195	41784401	41879607	41898749	41917891	41937033	41956175	41975317	41994459	42013601	42032743	42051885	42071027	42100500	42129973	42159446	42188919	42218392	42247864	42277337	42306810	42336283	42365756	42401626	42437495	42473365	42509234	42545104	42580974	42616843	42652713	42688582	42724452	42763818	42803184	42842549	42881915	42921281	42960647	43000013	43039378	43078744	43118110	43159106	43200101	43241096	43282092	43323088	43364083	43405078	43446074	43487070	43528065	43569912	43611759	43653606	43695453	43737300	43779146	43820993	43862840	43904687	43946534	48036296	52126058	56215821	60305583	64395345
Gabon	158227	158227	158227	158227	158227	158227	158227	158227	158227	158227	158227	158584	158940	159297	159654	160010	160367	160724	161081	161437	161794	162839	163883	164928	165973	167018	168062	169107	170152	171196	172241	173742	175244	176746	178247	179748	181250	182752	184253	185754	187256	188888	190521	192153	193786	195418	197050	198683	200315	201948	203580	205393	207206	209019	210832	212646	214459	216272	218085	219898	221711	223686	225660	227635	229609	231584	233559	235533	237508	239482	241457	243596	245734	247873	250012	252150	254289	256428	258567	260705	262844	265171	267497	269824	272151	274478	276804	279131	281458	283784	286111	288659	291207	293754	296302	298850	301398	303946	306493	309041	311589	314354	317119	319884	322649	325414	328180	330945	333710	336475	339240	342238	345236	348234	351232	354230	357227	360225	363223	366221	369219	372438	375656	378875	382093	385312	388531	391749	394968	398186	401405	404904	408404	411903	415402	418902	422401	425900	429399	432899	436398	440088	443778	447469	451159	454849	458539	462229	465920	469610	473300	473556	473813	474069	474326	474582	474838	475095	475351	475608	475864	476049	476233	476418	476603	476788	476972	477157	477342	477526	477711	477864	478016	478169	478321	478474	478627	478779	478932	479084	479237	479390	479543	479696	479849	480002	480156	480309	480462	480615	480768	480947	481126	481305	481484	481663	481842	482021	482200	482379	482558	482780	483002	483225	483447	483669	483891	484113	484336	484558	484780	732882	980985	1229087	1477190	1725292
